filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
inv-0000.jpg,290329,"{}",4,0,"{""name"":""rect"",""x"":85,""y"":464,""width"":848,""height"":57}","{""label"":""doc_id""}"
inv-0000.jpg,290329,"{}",4,1,"{""name"":""rect"",""x"":89,""y"":553,""width"":1344,""height"":199}","{""label"":""info""}"
inv-0000.jpg,290329,"{}",4,2,"{""name"":""rect"",""x"":1106,""y"":892,""width"":403,""height"":102}","{""label"":""total""}"
inv-0000.jpg,290329,"{}",4,3,"{""name"":""rect"",""x"":98,""y"":996,""width"":1030,""height"":61}","{""label"":""verif""}"
inv-0001.jpg,290255,"{}",4,0,"{""name"":""rect"",""x"":161,""y"":625,""width"":968,""height"":55}","{""label"":""doc_id""}"
inv-0001.jpg,290255,"{}",4,1,"{""name"":""rect"",""x"":165,""y"":704,""width"":1282,""height"":218}","{""label"":""info""}"
inv-0001.jpg,290255,"{}",4,2,"{""name"":""rect"",""x"":1047,""y"":1062,""width"":401,""height"":106}","{""label"":""total""}"
inv-0001.jpg,290255,"{}",4,3,"{""name"":""rect"",""x"":163,""y"":1146,""width"":744,""height"":76}","{""label"":""verif""}"
inv-0002.jpg,286299,"{}",4,0,"{""name"":""rect"",""x"":167,""y"":625,""width"":966,""height"":59}","{""label"":""doc_id""}"
inv-0002.jpg,286299,"{}",4,1,"{""name"":""rect"",""x"":165,""y"":704,""width"":1288,""height"":220}","{""label"":""info""}"
inv-0002.jpg,286299,"{}",4,2,"{""name"":""rect"",""x"":1047,""y"":1062,""width"":411,""height"":108}","{""label"":""total""}"
inv-0002.jpg,286299,"{}",4,3,"{""name"":""rect"",""x"":167,""y"":1147,""width"":737,""height"":72}","{""label"":""verif""}"
inv-0003.jpg,288021,"{}",4,0,"{""name"":""rect"",""x"":163,""y"":627,""width"":968,""height"":53}","{""label"":""doc_id""}"
inv-0003.jpg,288021,"{}",4,1,"{""name"":""rect"",""x"":163,""y"":704,""width"":1291,""height"":220}","{""label"":""info""}"
inv-0003.jpg,288021,"{}",4,2,"{""name"":""rect"",""x"":1047,""y"":1064,""width"":405,""height"":98}","{""label"":""total""}"
inv-0003.jpg,288021,"{}",4,3,"{""name"":""rect"",""x"":163,""y"":1146,""width"":507,""height"":74}","{""label"":""verif""}"
inv-0004.jpg,291927,"{}",4,0,"{""name"":""rect"",""x"":157,""y"":627,""width"":966,""height"":59}","{""label"":""doc_id""}"
inv-0004.jpg,291927,"{}",4,1,"{""name"":""rect"",""x"":153,""y"":710,""width"":1295,""height"":210}","{""label"":""info""}"
inv-0004.jpg,291927,"{}",4,2,"{""name"":""rect"",""x"":1040,""y"":1064,""width"":411,""height"":100}","{""label"":""total""}"
inv-0004.jpg,291927,"{}",4,3,"{""name"":""rect"",""x"":159,""y"":1147,""width"":738,""height"":70}","{""label"":""verif""}"
inv-0005.jpg,288637,"{}",4,0,"{""name"":""rect"",""x"":157,""y"":623,""width"":969,""height"":61}","{""label"":""doc_id""}"
inv-0005.jpg,288637,"{}",4,1,"{""name"":""rect"",""x"":163,""y"":710,""width"":1284,""height"":214}","{""label"":""info""}"
inv-0005.jpg,288637,"{}",4,2,"{""name"":""rect"",""x"":1049,""y"":1068,""width"":403,""height"":100}","{""label"":""total""}"
inv-0005.jpg,288637,"{}",4,3,"{""name"":""rect"",""x"":159,""y"":1142,""width"":746,""height"":83}","{""label"":""verif""}"
inv-0006.jpg,291140,"{}",4,0,"{""name"":""rect"",""x"":166,""y"":625,""width"":966,""height"":61}","{""label"":""doc_id""}"
inv-0006.jpg,291140,"{}",4,1,"{""name"":""rect"",""x"":163,""y"":707,""width"":1287,""height"":214}","{""label"":""info""}"
inv-0006.jpg,291140,"{}",4,2,"{""name"":""rect"",""x"":1048,""y"":1064,""width"":405,""height"":98}","{""label"":""total""}"
inv-0006.jpg,291140,"{}",4,3,"{""name"":""rect"",""x"":162,""y"":1150,""width"":740,""height"":68}","{""label"":""verif""}"
inv-0007.jpg,289119,"{}",4,0,"{""name"":""rect"",""x"":173,""y"":619,""width"":966,""height"":61}","{""label"":""doc_id""}"
inv-0007.jpg,289119,"{}",4,1,"{""name"":""rect"",""x"":173,""y"":703,""width"":1278,""height"":216}","{""label"":""info""}"
inv-0007.jpg,289119,"{}",4,2,"{""name"":""rect"",""x"":1059,""y"":1065,""width"":396,""height"":102}","{""label"":""total""}"
inv-0007.jpg,289119,"{}",4,3,"{""name"":""rect"",""x"":172,""y"":1143,""width"":736,""height"":77}","{""label"":""verif""}"
inv-0008.jpg,291968,"{}",4,0,"{""name"":""rect"",""x"":163,""y"":629,""width"":967,""height"":51}","{""label"":""doc_id""}"
inv-0008.jpg,291968,"{}",4,1,"{""name"":""rect"",""x"":163,""y"":707,""width"":1288,""height"":210}","{""label"":""info""}"
inv-0008.jpg,291968,"{}",4,2,"{""name"":""rect"",""x"":1051,""y"":1064,""width"":403,""height"":109}","{""label"":""total""}"
inv-0008.jpg,291968,"{}",4,3,"{""name"":""rect"",""x"":162,""y"":1146,""width"":740,""height"":71}","{""label"":""verif""}"
inv-0009.jpg,292238,"{}",4,0,"{""name"":""rect"",""x"":166,""y"":625,""width"":960,""height"":57}","{""label"":""doc_id""}"
inv-0009.jpg,292238,"{}",4,1,"{""name"":""rect"",""x"":159,""y"":706,""width"":1285,""height"":217}","{""label"":""info""}"
inv-0009.jpg,292238,"{}",4,2,"{""name"":""rect"",""x"":1047,""y"":1065,""width"":402,""height"":98}","{""label"":""total""}"
inv-0009.jpg,292238,"{}",4,3,"{""name"":""rect"",""x"":153,""y"":1146,""width"":748,""height"":75}","{""label"":""verif""}"
inv-0010.jpg,394460,"{}",4,0,"{""name"":""rect"",""x"":118,""y"":533,""width"":882,""height"":74}","{""label"":""doc_id""}"
inv-0010.jpg,394460,"{}",4,1,"{""name"":""rect"",""x"":115,""y"":620,""width"":1482,""height"":203}","{""label"":""info""}"
inv-0010.jpg,394460,"{}",4,2,"{""name"":""rect"",""x"":1194,""y"":916,""width"":404,""height"":113}","{""label"":""total""}"
inv-0010.jpg,394460,"{}",4,3,"{""name"":""rect"",""x"":104,""y"":984,""width"":979,""height"":91}","{""label"":""verif""}"
inv-0011.jpg,307610,"{}",2,0,"{""name"":""rect"",""x"":77,""y"":227,""width"":803,""height"":92}","{""label"":""doc_id""}"
inv-0011.jpg,307610,"{}",2,1,"{""name"":""rect"",""x"":76,""y"":322,""width"":1521,""height"":274}","{""label"":""info""}"
inv-0012.jpg,385514,"{}",4,0,"{""name"":""rect"",""x"":97,""y"":543,""width"":898,""height"":68}","{""label"":""doc_id""}"
inv-0012.jpg,385514,"{}",4,1,"{""name"":""rect"",""x"":89,""y"":626,""width"":1388,""height"":201}","{""label"":""info""}"
inv-0012.jpg,385514,"{}",4,2,"{""name"":""rect"",""x"":1184,""y"":900,""width"":404,""height"":104}","{""label"":""total""}"
inv-0012.jpg,385514,"{}",4,3,"{""name"":""rect"",""x"":89,""y"":969,""width"":877,""height"":87}","{""label"":""verif""}"
inv-0013.jpg,329429,"{}",4,0,"{""name"":""rect"",""x"":95,""y"":543,""width"":893,""height"":62}","{""label"":""doc_id""}"
